serie_velocidade_m_s,corrente_A,visibilidade_normalizada
270,0.000000000,0.587342174
270,0.056803764,0.616098485
270,0.106983170,0.513952020
270,0.157217775,0.364741164
270,0.207397195,0.177856691
270,0.257631799,0.098895200
270,0.307866419,0.035448234
270,0.408280443,0.043592170
270,0.508694454,0.055113636
270,0.609108479,0.024905301
270,0.709522503,0.041587754
270,0.809936514,0.024116162
270,0.910350539,0.037247475
270,1.010764563,0.038636364
270,1.111178588,0.062973487
270,1.211592613,0.075568182
270,1.312006623,0.054419192
270,1.412420648,0.086584598
270,1.613303897,0.083538509
270,1.814131932,0.114141414
270,2.014959981,0.108980428
270,2.215788017,0.101641414
270,2.416616066,0.097601010
270,2.617499301,0.138415402
270,2.818327350,0.101688764
270,3.019155400,0.134801135
270,3.219983435,0.138446970
270,3.420811470,0.101815026
270,3.621639520,0.115372477
270,3.822522768,0.138825758
270,4.023350804,0.109169822
270,4.224178853,0.127714646
270,4.425006888,0.138115531
380,0.000000000,0.877619952
380,0.056803764,0.860590279
380,0.106983170,0.819412881
380,0.157217775,0.706976008
380,0.207397195,0.551783459
380,0.257631799,0.435022097
380,0.307866419,0.316571968
380,0.358045824,0.249794824
380,0.408280443,0.178409091
380,0.458459849,0.138320707
380,0.508694454,0.087563131
380,0.558873874,0.070691289
380,0.609108479,0.051025883
380,0.709522503,0.032054925
380,0.809936514,0.030587119
380,0.910350539,0.023311236
380,1.010764563,0.028235479
380,1.111178588,0.022743055
380,1.211592613,0.020991160
380,1.312006623,0.033001895
380,1.412420648,0.020565026
380,1.512889872,0.035874368
380,1.613303897,0.046306820
380,1.814131932,0.052825127
380,2.014959981,0.053235479
380,2.215788017,0.078061867
380,2.416616066,0.084927398
380,2.617499301,0.096338384
380,2.818327350,0.103819442
380,3.019155400,0.111458335
380,3.521225495,0.118434343
380,4.023350804,0.130460857
380,4.525420913,0.119539143
