zeta_det,N,R_det,Gamma_det,exp_minus_Gamma,visibility,rho_norm
0.000000000000000000e+00,1.000000000000000000e+03,1.374142841025143724e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.873995267120491137e-01,1.670914815296118849e+00
0.000000000000000000e+00,2.000000000000000000e+03,1.374142841025143724e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.874003445489618613e-01,1.670914461249732419e+00
0.000000000000000000e+00,4.000000000000000000e+03,1.374142841025143724e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.874005918422478212e-01,1.670914372841508788e+00
0.000000000000000000e+00,8.000000000000000000e+03,1.374142841025143724e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.874006751718927832e-01,1.670914350752352728e+00
5.000000000000000000e-01,1.000000000000000000e+03,1.374142841025143724e+00,1.717678551281429655e-01,8.421746570051685810e-01,8.931878482601839364e-01,1.685773803142285310e+00
5.000000000000000000e-01,2.000000000000000000e+03,1.374142841025143724e+00,1.717678551281429655e-01,8.421746570051685810e-01,8.933570653901923286e-01,1.685773576111134098e+00
5.000000000000000000e-01,4.000000000000000000e+03,1.374142841025143724e+00,1.717678551281429655e-01,8.421746570051685810e-01,8.933689522420900087e-01,1.685773519419652811e+00
5.000000000000000000e-01,8.000000000000000000e+03,1.374142841025143724e+00,1.717678551281429655e-01,8.421746570051685810e-01,8.934085433118612585e-01,1.685773505255055316e+00
1.250000000000000000e+00,1.000000000000000000e+03,1.374142841025143724e+00,1.073549094550893646e+00,3.417933054852259622e-01,5.466966357884622818e-01,1.732883857076568113e+00
1.250000000000000000e+00,2.000000000000000000e+03,1.374142841025143724e+00,1.073549094550893646e+00,3.417933054852259622e-01,5.473499619425842289e-01,1.732884032744082425e+00
1.250000000000000000e+00,4.000000000000000000e+03,1.374142841025143724e+00,1.073549094550893646e+00,3.417933054852259622e-01,5.473977627435789861e-01,1.732884076609749080e+00
1.250000000000000000e+00,8.000000000000000000e+03,1.374142841025143724e+00,1.073549094550893646e+00,3.417933054852259622e-01,5.475598631943942030e-01,1.732884087569769971e+00
2.500000000000000000e+00,1.000000000000000000e+03,1.374142841025143724e+00,4.294196378203574582e+00,1.364753474800931531e-02,2.697353623578902515e-01,1.763778223764654207e+00
2.500000000000000000e+00,2.000000000000000000e+03,1.374142841025143724e+00,4.294196378203574582e+00,1.364753474800931531e-02,2.706090269303517704e-01,1.763778663518476675e+00
2.500000000000000000e+00,4.000000000000000000e+03,1.374142841025143724e+00,4.294196378203574582e+00,1.364753474800931531e-02,2.706730764911570719e-01,1.763778773328652738e+00
2.500000000000000000e+00,8.000000000000000000e+03,1.374142841025143724e+00,4.294196378203574582e+00,1.364753474800931531e-02,2.708913638001368418e-01,1.763778800765181565e+00
